Matrícula,Nome,Vínculo,Cargo,Lotação,Total
6947,AUGUSTO CARLOS CORREA CUNHA,Magistrados,Juiz(a) de 3ª Entrancia,2ª VARA CIVEL E EMPRESARIAL DA COMARCA DE BELEM,1
14303,AUGUSTO CESAR DA LUZ CAVALCANTE,Magistrados,Juiz(a) de 3ª Entrancia,6ª VARA CIVEL E EMPRESARIAL DA COMARCA DE BELEM,1
190047,BERNARDO HENRIQUE CAMPOS QUEIROGA,Magistrados,Juiz(a) de 1ª Entrancia,VARA UNICA DA COMARCA DE MOCAJUBA,1
37090,BETANIA DE FIGUEIREDO PESSOA,Magistrados,Juiz(a) de 3ª Entrancia,5ª VARA DO JUIZADO ESPECIAL CIVEL DE BELEM,1
29327,BLENDA NERY RIGON CARDOSO,Magistrados,Juiz(a) de 3ª Entrancia,2ª VARA CRIMINAL DA COMARCA DE BELEM,1
82759,BRENO MELO DA COSTA BRAGA,Magistrados,Juiz(a) de 2ª Entrancia,2ª VARA CIVEL E EMPRESARIAL DA COMARCA DE SANTA IZABEL DO PARA,1
149373,BRUNO AURELIO SANTOS CARRIJO,Magistrados,Juiz(a) de 2ª Entrancia,VARA CRIMINAL DA COMARCA DE REDENCAO,1
197114,BRUNO FELIPPE ESPADA,Magistrados,Juiz(a) de 1ª Entrancia,VARA UNICA DA COMARCA DE MELGACO,1
83071,CAIO MARCO BERARDO,Magistrados,Juiz(a) de Direito Auxiliar de 3ª Entrancia,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,1
190462,CAMILLA TEIXEIRA DE ASSUMPCAO,Magistrados,Juiz(a) Substituto(a),TRIBUNAL DE JUSTICA DO ESTADO,1
55824,CARLA SODRE DA MOTA DESSIMONI,Magistrados,Juiz(a) de Direito Auxiliar de 3ª Entrancia,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,1
39020,CARLOS MAGNO GOMES DE OLIVEIRA,Magistrados,Juiz(a) de 3ª Entrancia,3ª VARA CRIMINAL DA COMARCA DE ANANINDEUA,1
37120,CARLOS MARCIO DE MELO QUEIROZ,Magistrados,Juiz(a) de 3ª Entrancia,1ª VARA DE EXECUCAO FISCAL DA COMARCA DE BELEM,1
24392,CARMEN OLIVEIRA DE CASTRO CARVALHO,Magistrados,Juiz(a) de 3ª Entrancia,10ª VARA DO JUIZADO ESPECIAL CIVEL DE BELEM,1
70750,CAROLINA CERQUEIRA DE MIRANDA MAIA,Magistrados,Juiz(a) de Direito Auxiliar de 3ª Entrancia,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,1
167321,CAROLINE BARTOLOMEU SILVA,Magistrados,Juiz(a) de 2ª Entrancia,VARA CRIMINAL DA COMARCA DE SANTA IZABEL DO PARA,1
82791,CAROLINE SLONGO ASSAD,Magistrados,Juiz(a) de 2ª Entrancia,1ª VARA CIVEL E EMPRESARIAL DA COMARCA DE SANTA IZABEL DO PARA,1
153184,CELIA GADOTTI,Magistrados,Juiz(a) de 1ª Entrancia,VARA UNICA DA COMARCA DE SANTAREM NOVO,1
9407,CELIA REGINA DE LIMA PINHEIRO,Magistrados,Desembargador(a),GABINETE DA DESA. CELIA REGINA DE LIMA PINHEIRO,1
37140,CELIO PETRONIO D ANUNCIACAO,Magistrados,Juiz(a) de 3ª Entrancia,9ª VARA DO JUIZADO ESPECIAL CIVEL DE BELEM,1
82961,CELSO QUIM FILHO,Magistrados,Juiz(a) de Direito Auxiliar de 3ª Entrancia,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,1
37150,CESAR AUGUSTO PUTY PAIVA RODRIGUES,Magistrados,Juiz(a) de 3ª Entrancia,VICE-PRESIDENCIA,1
232866,CESAR BECHARA NADER MATTAR JUNIOR,Magistrados,Desembargador(a),GABINETE DO DES. CESAR BECHARA NADER MATTAR JUNIOR,1
116327,CESAR LEANDRO PINTO MACHADO,Magistrados,Juiz(a) de 2ª Entrancia,VARA CRIMINAL E DE EXECUCOES FISCAIS DA COMARCA DE CONCEICAO DO ARAGUAIA,1
148946,CHARBEL ABDON HABER JEHA,Magistrados,Juiz(a) de 2ª Entrancia,2ª VARA DA COMARCA DE TAILANDIA,1
39098,CHARLES CLAUDINO FERNANDES,Magistrados,Juiz(a) de 2ª Entrancia,VARA UNICA DA COMARCA DE VISEU,1
22969,CHARLES MENEZES BARROS,Magistrados,Juiz(a) de 3ª Entrancia da Turma Recursal,CENTRAL DE CONCILIACAO DE PRECATORIOS,1
41947,CINTIA WALKER BELTRAO DA SILVA,Magistrados,Juiz(a) de Direito Auxiliar de 3ª Entrancia,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,1
30171,CLARICE MARIA DE ANDRADE ROCHA,Magistrados,Juiz(a) de 3ª Entrancia,1ª VARA CRIMINAL DA COMARCA DE BELEM,1
149241,CLAUDIA FERREIRA LAPENDA FIGUEIROA,Magistrados,Juiz(a) de 2ª Entrancia,2ª VARA CRIMINAL DA COMARCA DE CASTANHAL,1
36471,CLAUDIA REGINA MOREIRA FAVACHO,Magistrados,Juiz(a) de 3ª Entrancia,2ª VARA DE FAMILIA DA COMARCA DE BELEM,1
37170,CLAUDIO HERNANDES SILVA LIMA,Magistrados,Juiz(a) de 3ª Entrancia,3ª VARA DO TRIBUNAL DO JURI DA COMARCA DE BELEM,1
204064,CLAUDIO SANZONOWICZ JUNIOR,Magistrados,Juiz(a) Substituto(a),TRIBUNAL DE JUSTICA DO ESTADO DO PARA,1
55778,CLAYTONEY PASSOS FERREIRA,Magistrados,Juiz(a) de Direito Auxiliar de 3ª Entrancia,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,1
113671,CLEMILTON SALOMAO DE OLIVEIRA,Magistrados,Juiz(a) de 2ª Entrancia,VARA UNICA DA COMARCA DE OBIDOS,1
329,CONSTANTINO AUGUSTO GUERREIRO,Magistrados,Desembargador(a),GABINETE DO DES. CONSTANTINO AUGUSTO GUERREIRO,1
48674,CORNELIO JOSE HOLANDA,Magistrados,Juiz(a) de 1ª Entrancia,VARA UNICA DA COMARCA DE OUREM,1
37900,COSME FERREIRA NETO,Magistrados,Juiz(a) de 3ª Entrancia,4ª VARA CIVEL E EMPRESARIAL DA COMARCA DE SANTAREM,1
8001,CRISTIANO ARANTES E SILVA,Magistrados,Juiz(a) de 3ª Entrancia,13ª VARA CIVEL E EMPRESARIAL DA COMARCA DE BELEM,1
190357,CRISTIANO LOPES SEGLIA,Magistrados,Juiz(a) de 1ª Entrancia,VARA CRIMINAL DA COMARCA DE DOM ELISEU,1
38930,CRISTIANO MAGALHAES GOMES,Magistrados,Juiz(a) de 2ª Entrancia,VARA UNICA DA COMARCA DE IGARAPE-ACU,1
37180,CRISTINA SANDOVAL COLLYER,Magistrados,Juiz(a) de 3ª Entrancia,3ª VARA CRIMINAL DA COMARCA DE BELEM,1
83089,CYNTHIA BEATRIZ ZANLOCHI VIEIRA,Magistrados,Juiz(a) de 1ª Entrancia,VARA UNICA DA COMARCA DE BONITO,1
113620,DANIEL BEZERRA MONTENEGRO GIRAO,Magistrados,Juiz(a) de 2ª Entrancia,1ª VARA CRIMINAL DA COMARCA DE CASTANHAL,1
113646,DANIEL GOMES COELHO,Magistrados,Juiz(a) de 2ª Entrancia,2ª VARA CIVEL E EMPRESARIAL DA COMARCA DE CANAA DOS CARAJAS,1
55786,DANIEL RIBEIRO DACIER LOBATO,Magistrados,Juiz(a) de 3ª Entrancia,11ª VARA CIVEL E EMPRESARIAL DA COMARCA DE BELEM,1
6700,DANIELLE DE CASSIA SILVEIRA BUHRNHEIM,Magistrados,Juiz(a) de 3ª Entrancia,PRESIDENCIA,1
39152,DANIELLE KAREN DA SILVEIRA ARAUJO LEITE,Magistrados,Juiz(a) de Direito Auxiliar de 3ª Entrancia,TRIBUNAL DE JUSTICA DO ESTADO,1
39180,DANIELLY MODESTO DE LIMA ABREU,Magistrados,Juiz(a) de 2ª Entrancia,3ª VARA CIVEL E EMPRESARIAL DA COMARCA DE BENEVIDES,1
116386,DANILO ALVES FERNANDES,Magistrados,Juiz(a) de 2ª Entrancia,1ª VARA CIVEL E EMPRESARIAL DA COMARCA DE CANAA DOS CARAJAS,1
197092,DANILO BRITO MARQUES,Magistrados,Juiz(a) de 2ª Entrancia,2ª VARA CUMULATIVA DA COMARCA DE BREVES,1
113549,DAVID GUILHERME DE PAIVA ALBANO,Magistrados,Juiz(a) de Direito Auxiliar de 3ª Entrancia,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,1
197378,DAVID JACOB BASTOS,Magistrados,Juiz(a) de 2ª Entrancia,VARA UNICA DA COMARCA DE TOME-ACU,1
197157,DAVID WEBER AGUIAR COSTA,Magistrados,Juiz(a) de 1ª Entrancia,VARA UNICA DA COMARCA DE BAIAO,1
37070,DEOMAR ALEXANDRE DE PINHO BARROSO,Magistrados,Juiz(a) de 3ª Entrancia,VARA DE EXECUCAO PENAL DA REGIAO METROPOLITANA DE BELEM,1
60240,DIANA CRISTINA FERREIRA DA CUNHA,Magistrados,Juiz(a) de Direito Auxiliar de 3ª Entrancia,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,1
113557,DIEGO GILBERTO MARTINS CINTRA,Magistrados,Juiz(a) de 2ª Entrancia,1ª VARA DE FAMILIA DA COMARCA DE ANANINDEUA,1
149179,DIOGO BONFIM FERNANDEZ,Magistrados,Juiz(a) de 2ª Entrancia,VARA UNICA DA COMARCA DE MAE DO RIO,1
48755,EDILENE DE JESUS BARROS SOARES,Magistrados,Juiz(a) de 2ª Entrancia,VARA CRIMINAL DA COMARCA DE BENEVIDES,1
37100,EDILSON FURTADO VIEIRA,Magistrados,Juiz(a) de 3ª Entrancia,2ª VARA CRIMINAL DA COMARCA DE ANANINDEUA,1
154440,EDINALDO ANTUNES VIEIRA,Magistrados,Juiz(a) de 1ª Entrancia,VARA UNICA DA COMARCA DE BREU BRANCO,1
37160,EDIVALDO BECKMAN SALDANHA SOUSA,Magistrados,Juiz(a) de 2ª Entrancia,VARA UNICA DA COMARCA DE RIO MARIA,1
20121,EDMAR SILVA PEREIRA,Magistrados,Juiz(a) de 3ª Entrancia,GABINETE DO JUIZ CONVOCADO  EDMAR SILVA PEREIA,1
37940,EDNA MARIA DE MOURA PALHA,Magistrados,Juiz(a) de 3ª Entrancia,2ª VARA CIVEL E EMPRESARIAL DISTRITAL DE ICOARACI,1
37920,EDUARDO ANTONIO MARTINS TEIXEIRA,Magistrados,Juiz(a) de 3ª Entrancia,4ª VARA DE FAMILIA DA COMARCA DE BELEM,1
37210,EDUARDO RODRIGUES DE MENDONCA FREIRE,Magistrados,Juiz(a) de 3ª Entrancia,VARA DE COMBATE AO CRIME ORGANIZADO DA COMARCA DE BELEM,1
82902,ELAINE NEVES DE OLIVEIRA,Magistrados,Juiz(a) de 2ª Entrancia,VARA DO JUIZADO ESPECIAL CIVEL E CRIMINAL DE CASTANHAL,1
39200,ELANO DEMETRIO XIMENES,Magistrados,Juiz(a) de 2ª Entrancia,VARA DO JUIZADO ESPECIAL DA COMARCA DE SANTA IZABEL DO PARA,1
38050,ELINE SALGADO VIEIRA,Magistrados,Juiz(a) de 2ª Entrancia,2ª VARA CIVEL E EMPRESARIAL DA COMARCA DE PARAUAPEBAS,1
24031,ELLEN CHRISTIANE BEMERGUY PEIXOTO,Magistrados,Juiz(a) de 3ª Entrancia,VARA DO JUIZADO ESPECIAL CRIMINAL DO MEIO AMBIENTE,1
48763,EMANOEL JORGE DIAS MOUTA,Magistrados,Juiz(a) de 2ª Entrancia,VARA DE VIOLENCIA DOMESTICA E FAMILIAR CONTRA A MULHER DA COMARCA DE ANANINDEUA,1
39190,EMERSON BENJAMIM PEREIRA DE CARVALHO,Magistrados,Juiz(a) de 3ª Entrancia,VARA DO JUIZADO ESPECIAL CIVEL DE ICOARACI,1
82911,EMILIA NAZARE PARENTE E SILVA DE MEDEIROS,Magistrados,Juiz(a) de 1ª Entrancia,VARA UNICA DA COMARCA DE ACARA,1
113425,ENGUELLYES TORRES DE LUCENA,Magistrados,Juiz(a) de 2ª Entrancia,1ª VARA CIVEL E EMPRESARIAL DA COMARCA DE CAPANEMA,1
151114,ENIO MAIA SARAIVA,Magistrados,Juiz(a) de 1ª Entrancia,VARA UNICA DA COMARCA DE PEIXE-BOI,1
29530,ERIC AGUIAR PEIXOTO,Magistrados,Juiz(a) de 3ª Entrancia,3ª VARA DO JUIZADO ESPECIAL CRIMINAL DE BELEM,1
149292,ERICHSON ALVES PINTO,Magistrados,Juiz(a) de 1ª Entrancia,VARA UNICA DA COMARCA DE IRITUIA,1
83097,ERICK COSTA FIGUEIRA,Magistrados,Juiz(a) de 1ª Entrancia,VARA UNICA DA COMARCA DE AFUA,1
197211,EUDES DE AGUIAR AYRES,Magistrados,Juiz(a) Substituto(a),TRIBUNAL DE JUSTICA DO ESTADO,1
1520,EVA DO AMARAL COELHO,Magistrados,Desembargador(a),GABINETE DA DESA. EVA DO AMARAL COELHO,1
36781,EVERALDO PANTOJA E SILVA,Magistrados,Juiz(a) de 3ª Entrancia,1ª VARA DO JUIZADO ESPECIAL CIVEL DE ANANINDEUA,1
1627,EZILDA PASTANA MUTRAN,Magistrados,Desembargador(a),GABINETE DA DESA. EZILDA PASTANA MUTRAN,1
37230,FABIO ARAUJO MARCAL,Magistrados,Juiz(a) de 3ª Entrancia,VARA CIVEL E CRIMINAL DISTRITAL DE MOSQUEIRO,1
37930,FABIO PENEZI POVOA,Magistrados,Juiz(a) de 3ª Entrancia,11ª VARA DO JUIZADO ESPECIAL CIVEL DE BELEM,1
42978,FABIOLA URBINATI MAROJA PINHEIRO,Magistrados,Juiz(a) de 2ª Entrancia,VARA DO TRIBUNAL DO JURI DA COMARCA DE ANANINDEUA,1
204072,FABRISIO LUIS RADAELLI,Magistrados,Juiz(a) Substituto(a),TRIBUNAL DE JUSTICA DO ESTADO DO PARA,1
82732,FERNANDA AZEVEDO LUCENA,Magistrados,Juiz(a) de 2ª Entrancia,2ª VARA CIVEL E EMPRESARIAL DA COMARCA DE ABAETETUBA,1
113361,FLAVIA OLIVEIRA DO ROSARIO,Magistrados,Juiz(a) de 2ª Entrancia,2ª VARA CRIMINAL DA COMARCA DE PARAUAPEBAS,1
149063,FLAVIO OLIVEIRA LAUANDE,Magistrados,Juiz(a) de 2ª Entrancia,VARA DE EXECUCAO PENAL DA COMARCA DE SANTAREM,1
2457,FLAVIO SANCHEZ LEAO,Magistrados,Juiz(a) de 3ª Entrancia,7ª VARA CRIMINAL DA COMARCA DE BELEM,1
82830,FRANCISCO DANIEL BRANDAO ALCANTARA,Magistrados,Juiz(a) de 2ª Entrancia,2ª VARA CIVEL E EMPRESARIAL DA COMARCA DE CASTANHAL,1
167291,FRANCISCO GILSON DUARTE KUMAMOTO SEGUNDO,Magistrados,Juiz(a) de 2ª Entrancia,VARA AGRARIA DA COMARCA DE ALTAMIRA,1
44960,FRANCISCO JORGE GEMAQUE COIMBRA,Magistrados,Juiz(a) de 3ª Entrancia,VARA DE CRIMES CONTRA CRIANCA E ADOLESCENTE DA COMARCA DE ANANINDEUA,1
29289,FRANCISCO ROBERTO MACEDO DE SOUZA,Magistrados,Juiz(a) de 3ª Entrancia,6ª VARA DE FAMILIA DA COMARCA DE BELEM,1
190179,FRANCISCO WALTER REGO BATISTA,Magistrados,Juiz(a) de 1ª Entrancia,VARA UNICA DA COMARCA DE IPIXUNA DO PARA,1
39220,GABRIEL COSTA RIBEIRO,Magistrados,Juiz(a) de 3ª Entrancia,3ª VARA DO JUIZADO ESPECIAL DA FAZENDA PUBLICA DA CAPITAL,1
204081,GABRIEL DE FREITAS MARTINS,Magistrados,Juiz(a) Substituto(a),TRIBUNAL DE JUSTICA DO ESTADO DO PARA,1
55808,GABRIEL VELOSO DE ARAUJO,Magistrados,Juiz(a) de 3ª Entrancia,3ª VARA CRIMINAL DA COMARCA DE SANTAREM,1
16314,GERALDO CUNHA DA LUZ,Magistrados,Pretor(a) da Capital,TRIBUNAL DE JUSTICA DO ESTADO,1
37970,GERALDO NEVES LEITE,Magistrados,Juiz(a) de 3ª Entrancia,4ª VARA CRIMINAL DA COMARCA DE BELEM,1
37990,GERSON MARRA GOMES,Magistrados,Juiz(a) de 3ª Entrancia,VARA DO JUIZADO ESPECIAL CIVEL DE SANTAREM - FIT,1
20107,GILDES MARIA SILVEIRA LIMA,Magistrados,Juiz(a) de 3ª Entrancia,1ª VARA DO JUIZADO ESPECIAL CRIMINAL DE BELEM,1
190152,GIORDANNO LOUREIRO CAVALCANTI GRILO,Magistrados,Juiz(a) de 1ª Entrancia,VARA UNICA DA COMARCA DE PACAJA,1
30180,GIOVANA DE CASSIA SANTOS DE OLIVEIRA,Magistrados,Juiz(a) de 3ª Entrancia,VARA DO JUIZADO ESPECIAL CRIMINAL DE ICOARACI,1
44950,GISELE MENDES CAMARCO LEITE,Magistrados,Juiz(a) de 3ª Entrancia,5ª VARA CIVEL E EMPRESARIAL DA COMARCA DE BELEM,1
48704,GLAUCIO ARTHUR ASSAD,Magistrados,Juiz(a) de 2ª Entrancia,1ª VARA CIVEL E EMPRESARIAL DA COMARCA DE ANANINDEUA,1
1929,GLEIDE PEREIRA DE MOURA,Magistrados,Desembargador(a),GABINETE DA DESA. GLEIDE PEREIRA DE MOURA,1
30244,GUISELA HAASE DE MIRANDA,Magistrados,Juiz(a) de 3ª Entrancia,4ª VARA DA INFANCIA E JUVENTUDE DA COMARCA DE BELEM,1
204102,GUSTAVO PORCIUNCULA DAMASCENO DE ANDRADE,Magistrados,Juiz(a) Substituto(a),TRIBUNAL DE JUSTICA DO ESTADO DO PARA,1
151122,HAENDEL MOREIRA RAMOS,Magistrados,Juiz(a) de 2ª Entrancia,1ª VARA CIVEL E EMPRESARIAL DA COMARCA DE XINGUARA,1
82597,HAILA HAASE DE MIRANDA,Magistrados,Juiz(a) de 1ª Entrancia,VARA UNICA DA COMARCA DE SANTO ANTONIO DO TAUA,1
48682,HAROLDO SILVA DA FONSECA,Magistrados,Juiz(a) de 2ª Entrancia,VARA AGRARIA DA COMARCA DE REDENCAO,1
39320,HELENA DE OLIVEIRA MANFROI,Magistrados,Juiz(a) de 2ª Entrancia,2ª VARA CIVEL E EMPRESARIAL DA COMARCA DE MARITUBA,1
