Matrícula,Código,Cargo/Função
145335,CJS-6,Secretario(a) Adjunto(a) de Tecnologia da Informacao e Comunicacao
150312,CJS-4,Assessor de Juiz Auxiliar da Presidencia
151823,FG-2,Chefe do Servico de Acompanhamento
151980,CJS-3,Secretario do Forum da Comarca de Maraba
15202,CJS-3,Assessor Juridico do Forum Civel
152218,FG-2,Chefe do Servico de Normatizacao e Editoracao
152471,FG-2,Chefe do Servico de Fiscalizacao da Arrecadacao dos Servicos Extrajudiciais
157660,CJS-4,Assessor(a) Juridico(a) da Corregedoria-Geral de Justica
162175,FG-2,Chefe do Servico de Comercializacao dos Selos de Seguranca
162311,CJS-3,Chefe de Divisao de Redes
162442,FG-2,Chefe do Servico de Gestao e Cotacao de Precos de Servicos Gerais
168289,FG-2,Chefe do Servico de Cadastro de Servidores da Capital
170399,CJS-5,Assessor Especial da Presidencia
171395,FG-2,Chefe do Servico de Apoio Pedagogico - EJPA
172146,CJS-4,Assessor Juridico da Secretaria de Planejamento
172758,CJS-4,Coordenador de Gestao Estrategica
173070,FG-1,Chefe do Servico de Feitos Judiciais
173819,CJS-4,Coordenador de Estatistica
173878,CJS-3,Chefe de Divisao de Telecomunicacoes
17469,CJS-3,Secretario do Forum da Comarca de Santarem
176303,FG-2,Chefe do Servico de Pagamento de Servidores
190829,CJS-4,Coordenador(a) de Infraestrutura Tecnologica
190896,CJS-3,Chefe de Divisao de Operacoes e Sistemas Basicos
197823,FG-2,Chefe do Servico de Cadastro de Servidores do Interior
203424,FG-2,Chefe do Servico de Suprimento de Fundos
204889,CJS-3,Chefe de Divisao de Sistemas de Arrecadacao
217581,CJS-4,Assessor da Coordenadoria de Administracao de Pessoal e Pagamento
218774,CJS-4,Coordenador de Aplicacoes
223085,CJS-3,Chefe de Divisao de Seguranca da Informacao
223247,CJS-3,Chefe da Divisao de Sistemas Judiciais
22667,CJS-4,Assessor Tecnico da Coordenadoria de Saude
22683,CJS-4,Assessor Juridico da Secretaria de Administracao
22691,CJS-3,Secretario do Forum Criminal
22926,FG-2,Chefe do Servico de Expedicao e Correspondencia
23450,FG-2,Chefe do Serviço de Expediente e Arquivo do Forum Civel
23620,CJS-3,Chefe da Divisao de Acompanhamento e Controle de Arrecadacao dos Servicos Judiciais
25704,CJS-3,Secretario do Forum Civel
26387,FG-2,Chefe de Servico Disciplinar da Corregedoria-Geral de Justica
4006,FG-2,Chefe do Servico da Guarda Judiciaria
41420,CJS-5,Chefe de Gabinete da Vice-Presidencia
42640,CJS-3,Chefe da Divisao de Servicos Gerais
49239,FG-2,"Chefe de Servico de Correicao, Movimentacao e Vitaliciamento de Magistrados(as) - CGJ"
49999,CJS-4,Coordenador de Saude
5495,CJS-3,Chefe da Divisao de Controle de Processos Administrativos
55530,FG-2,Chefe do Servico de Cadastro de Magistrados
57592,FG-2,Chefe do Servico de Compras
58467,CJS-4,Coordenador de Depositos Judiciais
58483,CJS-4,Coordenador de Administracao de Pessoal e Pagamento
58505,CJS-3,Chefe da Divisao de Pagamento
58513,FG-2,Chefe do Servico de Almoxarifado de Bens Moveis
58521,CJS-4,Coordenador de Desenvolvimento de Pessoal
58629,CJS-5,Diretor do Departamento de Patrimonio e Servicos
59021,CJS-3,Chefe da Divisao de Biblioteca
59412,CJS-4,Assessor Tecnico-Organizacional da Secretaria de Gestao de Pessoas
59978,FG-2,Chefe do Servico de Protocolo Administrativo e Judicial
60054,FG-1,Chefe do Servico de Emissao de Certidoes Civeis
60267,CJS-3,Chefe de Divisao de Sistemas Administrativos
60542,CJS-4,Assessor Juridico da Secretaria de Gestao de Pessoas
62162,FG-2,Chefe do Servico de Protocolo Administrativo
62316,FG-2,Chefe do Servico de Processamento Tecnico
62430,CJS-3,Chefe da Divisao de Bens Patrimoniais
62537,FG-2,Chefe de Servico de Readequacao de Projetos
62570,FG-2,Chefe do Servico de Processos Administrativos
62740,FG-2,Chefe do Servico de Apoio Psicossocial
62952,CJS-3,Chefe da Divisao de Acompanhamento e Controle de Arrecadacao dos Servicos Extrajudiciais
63258,FG-2,Chefe do Servico de Execucao de Pagamento
63606,FG-1,Chefe da Secao de Monitoramento de Frota
63622,FG-2,Chefe do Servico de Manutencao da Frota
63819,FG-1,Chefe da Secao de Controle de Frota dos Foruns
63860,FG-2,Chefe do Servico de Elaboracao
63916,FG-2,Chefe do Servico de Almoxarifado de Materiais
63932,CJS-3,Chefe da Divisao de Transportes
64548,FG-2,Chefe do Servico de Referencia Bibliografica
64637,CJS-4,Assessor(a) Juridico(a) da Corregedoria-Geral de Justica
64815,CJS-6,Secretario Adjunto da Secretaria de Engenharia e Arquitetura
64858,CJS-4,Coordenador do Nucleo Estrategico de Governanca de Auditoria e Risco
65293,FG-2,Chefe do Servico de Avaliacao de Frequencia de Servidores
65838,CJS-4,Assessor Tecnico Administrativo da Secretaria de Gestao de Pessoas
65870,FG-2,Chefe do Servico de Expediente e Arquivo do Forum Criminal
65978,FG-2,Chefe do Servico de Museu e Documentacao Historica
66320,FG-2,Chefe de Servico de Planejamento e Orcamento
66370,FG-1,Chefe da Secao de Pesquisa Bibliografica - EJPA
66800,CJS-5,Chefe de Gabinete - CI
66818,FG-2,Chefe do Servico de Acompanhamento de Contratos
66842,FG-2,Chefe do Servico Odontologico
66850,CJS-3,Chefe da Divisao de Administracao de Pessoal
66869,FG-2,Chefe do Servico de Processamento de Documentos
67040,CJS-4,Assessor da Presidencia
67075,CJS-3,Assistente Tecnico Administrativo da Coordenadoria de Cerimonial
67180,FG-1,Chefe da Secao de Zeladoria dos Foruns da Capital
67300,FG-2,Chefe do Servico de Controle de Bens Patrimoniais
67318,FG-2,Chefe do Servico de Atendimento ao Plano de Assistencia a Saude
67334,FG-2,Chefe do Servico de Controle da Frota do Poder Judiciario
67350,CJS-4,Assessor Tecnico da Secretaria de Administracao
67423,FG-1,Chefe da Secao de Almoxarifado do Tribunal de Justica
67539,CJS-6,"Secretario Adjunto da Secretaria de Planejamento, Coordenacao e Financas"
67555,CJS-4,Assessor(a)
67610,CJS-4,Coordenador de Orcamento
67636,FG-2,Chefe do Servico de Licitacoes
67792,FG-2,Chefe do Servico de Publicacao Oficial
67873,CJS-4,Coordenador(a) de Governanca
67954,CJS-4,Assessor Tecnico-Administrativo do Departamento Financeiro
69299,CJS-5,Diretor do Departamento de Documentacao e Informacao
70106,FG-2,Chefe do Servico de Acompanhamento de Estagios
70149,CJS-8,Secretario de Administracao
70254,FG-2,Chefe de Servico de Desenvolvimento de Projetos
70637,CJS-4,Chefe da Assessoria Juridica da Secretaria de Gestao de Pessoas
79154,CJS-3,Chefe de Divisao de Administracao de Dados e Inteligencia de Negocios
85812,CJS-5,"Diretor do Departamento de Planejamento, Gestao e Estatistica"
87653,CJS-4,Assessor Tecnico Administrativo da Secretaria de Administracao
88277,FG-2,Chefe do Servico de Avaliacao de Desempenho
89494,FG-2,Chefe do Servico de Fiscalizacao da Arrecadacao dos Servicos Judiciais
91677,FG-2,Chefe do Servico de Prestacao de Contas
91812,CJS-8,Secretario de Auditoria Interna
93238,FG-1,Chefe do Serviço de Correspondencias do Forum Criminal da Capital
94595,FG-1,Chefe da Secao de Controle de Frota do Tribunal de Justica
94625,FG-2,Chefe do Servico de Manutencao de Equipamentos e Instalacoes - SEA
95915,CJS-4,Coordenador de Controle de Indicadores e Metas
97616,CJS-8,Secretario(a) de Gestao de Pessoas
