Matrícula,Código,Cargo/Função
150053,CJS-2,Assessor de Juiz da 3ª Vara do Juizado Especial Criminal de Belem
150304,CJS-2,Assessor de Juiz da Vara de Juizado Especial Civel e Criminal da Comarca de Altamira
150321,CJS-2,Assessor de Juiz da 9ª Vara do Juizado Especial Civel de Belem
150525,CJS-2,Assessor de Juiz da 1ª Vara de Tailandia
150614,CJS-2,Assessor de Juiz da Vara Unica de Ourem
150720,CJI,Chefe da Unidade Local de Arrecadacao - Curuca
151564,CJI,Chefe da Unidade Local de Arrecadacao - Prainha
151572,CJS-2,Assessor de Juiz da 2ª Vara Civel e Empresarial de Barcarena
152978,CJS-2,Assessor de Juiz da 2ª Vara de Fazenda de Belem
153125,CJS-2,Assessor de Juiz da Vara da Infancia e Juventude de Ananindeua
153940,CJS-2,Assessor de Juiz da 2ª Vara Criminal de Parauapebas
153974,CJS-2,Assessor de Juiz da 4ª Vara Criminal de Belem
154679,CJI,Chefe da Unidade Local de Arrecadacao
155624,CJS-2,Assessor de Juiz da 3ª Vara de Familia de Belem
155951,CJS-2,Assessor de Juiz da 1ª Vara Criminal de Parauapebas
155977,CJS-4,Assessor Tecnico Juridico do Nucleo Perm de Metodos Consensuais de Solucao de Conflitos
156108,CJS-2,Assessor de Juiz da 1ª Vara Civel e Empresarial de Santa Izabel do Para
156426,CJS-2,Assessor de Juiz da Vara da Infancia e Juventude Interditos e Ausentes de Santarem
156612,CJS-2,Assessor de Juiz da Vara Agraria de Santarem
156825,CJI,Chefe da Unidade Local de Arrecadacao - Viseu
156833,CJS-2,Assessor de Juiz da Vara Unica de Rio Maria
157198,CJS-2,Assessor de Juiz da Vara Unica de Viseu
157333,CJS-2,Assessor de Juiz da 2ª Vara Civel e Empresarial de Ananindeua
158518,CJS-2,Assessor de Juiz da 2ª Turma Recursal Permanente dos Juizados Especiais
158607,CJS-2,Assessor de Juiz da Vara Unica de Igarape-Miri
159077,CJS-2,Assessor de Juiz da 1ª Vara Civel e Empresarial de Tucurui
159417,CJS-2,Assessor de Juiz da Vara Unica de Curionopolis
159433,CJS-2,Assessor de Juiz da 1ª Vara Civel e Empresarial de Ananindeua
159441,CJS-2,Assessor de Juiz da 2ª Vara Criminal de Castanhal
159450,CJS-2,Assessor de Juiz da 1ª Vara Civel e Empresarial Distrital de Icoaraci
159468,CJS-2,Assessor de Juiz da 1ª Vara de Fazenda de Belem
159476,CJS-2,Assessor de Juiz da 2ª Vara Civel e Empresarial de Benevides
159549,CJS-2,Assessor de Juiz da 3ª Vara Civel e Empresarial de Ananindeua
159671,CJS-2,Assessor de Juiz da Vara Unica de Mae do Rio
159743,CJS-2,Assessor de Juiz da Vara do Juizado Especial Civel de Santarem - FIT
160237,CJS-2,Assessor de Juiz da 9ª Vara Civel e Empresarial de Belem
161403,CJS-1,Chefe da URA-FRJ - 8RJ-Breves
162558,CJS-2,Assessor de Juiz da Vara Unica de Sao Geraldo do Araguaia
162949,CJS-2,Assessor de Juiz da 1ª Vara Civel e Empresarial de Canaa dos Carajas
163066,CJS-2,Assessor de Juiz da 2ª Vara Civel e Empresarial de Canaa dos Carajas
164054,CJS-2,Assessor de Juiz da 1ª Turma Recursal Permanente dos Juizados Especiais
164771,CJS-2,Assessor de Juiz da 12ª Vara do Juizado Especial Civel de Belem
167720,CJS-2,Assessor de Juiz da 1ª Vara Civel e Empresarial de Xinguara
168050,CJS-2,Assessor de Juiz da 1ª Vara Civel e Empresarial de Benevides
168084,CJS-2,Assessor de Juiz da Vara Criminal de Redencao
168122,CJI,Chefe da Unidade Local de Arrecadacao - Oeiras do Para
168874,CJS-2,Assessor de Juiz da Vara de Execucao das Penas e Medidas Alternativas de Belem
170224,CJS-2,Assessor de Juiz da Vara Criminal de Marituba
170232,CJS-2,Assessor de Juiz da 1ª Vara Civel de Rondon do Para
171913,CJS-2,Assessor de Juiz da 1ª Vara da Infancia e Juventude de Belem
172171,CJS-2,Assessor de Juiz da 2ª Vara Criminal de Ananindeua
173452,CJS-2,Assessor de Juiz da 2ª Vara do Juizado Especial da Fazenda Publica de Belem
174548,CJS-2,Assessor de Juiz da Turma Recursal Permanente dos Juizados Especiais da Fazenda Publica
174734,CJS-2,Assessor de Juiz da 1ª Vara Criminal de Castanhal
174742,CJS-2,Assessor de Juiz da Vara Criminal de Braganca
174751,CJS-2,Assessor de Juiz da Vara de Execucao Penal da Regiao Metropolitana de Belem
175358,CJS-2,Assessor de Juiz da Vara Unica de Faro
177636,CJI,Chefe da Unidade Local de Arrecadacao - Terra Santa
177997,CJS-2,Assessor de Juiz da Vara de Execucao Penal de Maraba
178462,CJI,Chefe da Unidade Local de Arrecadacao - Obidos
179167,CJI,Chefe da Unidade Local de Arrecadacao - Marituba
179957,CJS-2,Assessor de Juiz da 8ª Vara Civel e Empresarial de Belem
180513,CJS-2,Assessor de Juiz da 2ª Vara Civel e Empresarial de Capanema
181901,CJS-2,Assessor de Juiz da 1 Vara Cumulativa de Cameta
182079,CJS-2,Assessor de Juiz da Vara Unica de Cachoeira do Arari
182435,CJS-2,Assessor de Juiz da Vara Criminal de Barcarena
183008,CJS-2,Assessor de Juiz da 1ª Vara do Juizado Especial Civel de Belem
183067,CJS-3,CHEFE DA DIV. DE APOIO JUDICIARIO (JME)
183717,CJS-2,Assessor de Juiz da 1ª Vara Civel e Empresarial de Abaetetuba
183768,CJS-2,Assessor de Juiz da Vara Unica de Marapanim
184152,CJI,Assistente da Coordenadoria de Desenvolvimento de Pessoal
184161,CJS-2,Assessor de Juiz da Vara Unica de Juruti
184985,CJS-2,Assessor de Juiz da Vara Unica de Concordia do Para
185906,CJS-2,Assessor de Juiz da Vara Unica de Breu Branco
186091,CJS-2,Assessor de Juiz da 2ª Vara Criminal de Belem
186104,CJS-2,Assessor de Juiz da 2ª Vara Civel e Empresarial de Parauapebas
186121,CJS-2,Assessor de Juiz da Vara Unica de Jacunda
186163,CJS-2,Assessor de Juiz da Vara Criminal de Paragominas
186180,CJS-2,Assessor de Juiz da Vara Unica de Limoeiro do Ajuru
186554,CJI,Chefe da Unidade Local de Arrecadacao - Santa Luzia do Para
186627,CJS-2,Assessor de Juiz da 1ª Vara Criminal de Maraba
186767,CJS-2,Assessor de Juiz da Vara Criminal e de Execucoes Fiscais de Conceicao do Araguaia
186813,CJI,Chefe da Unidade Local de Arrecadacao - Nova Timboteua
187003,CJS-2,Assessor de Juiz da Vara do Juizado Especial Civel e Criminal de Parauapebas
187160,CJS-2,Assessor de Juiz da 1ª Vara Civel e Empresarial de Castanhal
187496,CJS-2,Assessor de Juiz da 2ª Vara de Execucao Fiscal de Belem
188760,CJI,Chefe da Unidade Local de Arrecadacao - Vitoria do XIngu
189103,CJS-2,Assessor de Juiz da 3ª Vara Civel e Empresarial de Benevides
189146,CJS-2,Assessor de Juiz da 1ª Vara Criminal de Rondon do Para
189995,CJS-1,Chefe da URA-FRJ - 16RJ-Itaituba
190039,CJS-2,Assessor de Juiz da 1ª Turma Recursal Permanente dos Juizados Especiais
190349,CJS-2,Assessor de Juiz
190381,CJI,Chefe da Unidade Local de Arrecadacao - Juruti
190675,CJS-2,Assessor de Juiz da 2ª Vara do Juizado Especial Civel de Ananindeua
190721,CJS-2,Assessor de Juiz da 2ª Vara de Familia de Ananindeua
190730,CJS-2,Assessor de Juiz da Vara do Juizado Especial Civel e Criminal de Castanhal
190772,CJS-2,Assessor de Juiz da 2ª Vara Civel e Empresarial de Xinguara
191299,CJS-2,Assessor de Juiz da Vara Criminal da Comarca de Dom Eliseu
191761,CJS-4,Assessor Tecnico Juridico do Nucleo Perm de Metodos Consensuais de Solucao de Conflitos
191906,CJS-2,Assessor de Juiz da Vara Unica de Sao Sebastiao da Boa Vista
191931,CJS-2,Assessor de Juiz da Vara Civel e Empresarial de Dom Eliseu
192465,CJI,Chefe da Unidade Local de Arrecadacao - Irituia
192619,CJS-2,Assessor de Juiz da Vara de Violencia Domestica e Familiar contra a Mulher da Comarca de Ananindeua
192775,CJS-2,Assessor de Juiz da 1ª Vara Civel e Empresarial de Santarem
193101,CJI,Chefe da Unidade Local de Arrecadacao-F Distrital Mosqueiro
193780,CJS-2,Assessor de Juiz da 2ª Vara Civel e Empresarial de Santa Izabel do Para
194255,CJS-2,Assessor de Juiz da 3ª Vara Civel e Empresarial de Maraba
194271,CJS-2,Assessor de Juiz da 6ª Vara de Familia de Belem
194280,CJS-2,Assessor de Juiz da Vara Unica de Garrafao do Norte
194336,CJS-2,Assessor de Juiz da Vara Unica de Melgaco
194760,CJS-2,Assessor de Juiz da Vara Unica de Alenquer
194778,CJS-2,Assessor de Juiz da Vara Unica de Primavera
194786,CJS-2,Assessor de Juiz da Vara Agraria de Maraba
195511,CJS-2,Assessor de Juiz da 2ª Vara Civel e Empresarial de Maraba
196088,CJS-2,Assessor de Juiz da 2ª Vara de Tailandia
196126,CJS-2,Assessor de Juiz da 2ª Vara Civel e Empresarial de Abaetetuba
196177,CJI,Chefe da Unidade Local de Arrecadacao - Goianesia do Para
196240,CJS-2,Assessor de Juiz da Vara Unica de Afua
199079,CJS-2,Assessor de Juiz da Vara Unica de Maracana
199401,CJS-2,Assessor de Juiz da Vara Civel e Empresarial de Sao Felix do Xingu
199559,CJI,Chefe da Unidade Local de Arrecadacao - Sao Domingos do Capim
199737,CJS-2,Assessor de Juiz da Vara Unica de Sao Caetano de Odivelas
200191,CJS-2,Assessor de Juiz da 13ª Vara Civel e Empresarial de Belem
200255,CJS-2,Assessor de Juiz da Vara Unica de Curralinho
200301,CJS-2,Assessor de Juiz da 3ª Vara Criminal de Santarem
200310,CJS-2,Assessor de Juiz da Vara Unica de Oeiras do Para
200361,CJS-2,Assessor de Juiz da Vara Unica de Soure
200590,CJI,Chefe da Unidade Local de Arrecadacao - Novo Progresso
201073,CJS-2,Assessor de Juiz da Vara Unica de Obidos
201081,CJS-2,Assessor de Juiz da 4ª Vara do Juizado Especial Criminal de Belem
201154,CJS-2,Assessor de Juiz da Vara Distrital de Monte Dourado de Almeirim
201260,CJS-2,Assessor de Juiz da Vara Unica de Peixe-Boi
201278,CJS-2,Assessor de Juiz da Vara de Violencia Domestica e Familiar contra a Mulher de Maraba
201308,CJI,Chefe da Unidade Local de Arrecadacao - Salvaterra
201715,CJS-2,Assessor de Juiz da 2ª Vara Criminal de Maraba
201863,CJS-2,Assessor de Juiz da Vara Unica de Muana
201871,CJS-2,Assessor de Juiz da 1ª Vara Criminal de Altamira
201898,CJS-2,Assessor de Juiz da 2ª Vara Civel e Empresarial de Redencao
201987,CJI,Chefe da Unidade Local de Arrecadacao - Sao Sebastiao da Boa Vista
202649,CJS-2,Assessor de Juiz da Vara Unica de Terra Santa
204226,CJI,Chefe da Unidade Local de Arrecadacao - Santo Antonio do Taua
204994,CJS-2,Assessor de Juiz da Vara Unica de Bujaru
205907,CJS-2,Assessor de Juiz da Vara Unica de Portel
206792,CJS-2,Assessor de Juiz da 2ª Vara Criminal Distrital de Icoaraci
206997,CJS-2,Assessor de Juiz da Vara Unica de Salvaterra
207861,CJI,Chefe da Unidade Local de Arrecadacao - Tucuma
208051,CJS-2,Assessor de Juiz da 1ª Vara do Juizado Especial Civel e Criminal de Tucurui
208191,CJS-2,Assessor de Juiz da Vara Unica de Santa Maria do Para
208230,CJS-2,Assessor de Juiz da Vara de Juiz(a) das Garantias da Regiao Metropolitana de Belem
208345,CJS-2,Assessor de Juiz da 1ª Vara Civel e Empresarial de Maraba
208442,CJS-2,Assessor de Juiz da 3ª Vara Civel e Empresarial de Parauapebas
208973,CJS-3,DIRETOR DEPTO PATRIMONIO E SERVICOS (JME)
209058,CJI,Chefe da Unidade Local de Arrecadacao - Mae do Rio
209261,CJS-2,Assessor de Juiz da Vara Unica de Baiao
209643,CJS-2,Assessor de Juiz da 2ª Vara Criminal de Santarem
209767,CJI,Chefe da Unidade Local de Arrecadacao - Maracana
209775,CJI,Chefe da Unidade Local de Arrecadacao - Ulianopolis
210340,CJS-2,Assessor de Juiz da 2ª Vara Civel e Empresarial de Tucurui
211044,CJS-2,Assessor de Juiz da 1ª Vara Cumulativa de Breves
211818,CJS-2,Assessor de Juiz da Vara Unica de Gurupa
211907,CJS-2,Assessor de Juiz da 1ª Vara de Familia de Ananindeua
211915,CJS-2,Assessor de Juiz da 2ª Vara Criminal da Comarca de Itaituba
211966,CJS-2,Assessor de Juiz da Vara Unica de Almeirim
212113,CJI,Chefe da Unidade Local de Arrecadacao - Almeirim
212385,CJI,Chefe da Unidade Local de Arrecadacao - Concordia do Para
212393,CJS-2,Assessor de Juiz da Vara de Crimes contra o Consumidor e a Ordem Tributaria de Belem
212415,CJS-2,Assessor de Juiz da 1ª Vara Civel e Empresarial de Redencao
212423,CJS-2,Assessor de Juiz da Vara Unica de Sao Francisco do Para
212512,CJS-2,Assessor de Juiz da 1ª Vara Civel e Empresarial de Itaituba
212555,CJS-2,Assessor de Juiz da Vara Unica de Sao Domingos do Capim
212580,CJS-2,Assessor de Juiz da Vara Unica de Itupiranga
212725,CJS-2,Assessor de Juiz da Vara Unica de Prainha
213284,CJS-2,Assessor de Juiz da 3ª Vara de Fazenda de Belem
213837,CJS-2,Assessor de Juiz da 10ª Vara do Juizado Especial Civel de Belem
214027,CJS-2,Assessor de Juiz da Vara Civel de Novo Progresso
214078,CJS-2,Assessor de Juiz da Vara Unica de Acara
214183,CJS-2,Assessor de Juiz da Vara Unica de Medicilandia
214884,CJS-2,Assessor de Juiz da 1ª Vara Civel e Empresarial de Braganca
216097,CJS-2,Assessor de Juiz da 8ª Vara do Juizado Especial Civel de Belem
217174,CJS-2,Assessor de Juiz da Vara Unica de Novo Repartimento
217204,CJS-2,Assessor de Juiz da Vara Civel e Criminal Distrital de Mosqueiro
217298,CJI,Chefe da Unidade Local de Arrecadacao - Portel
217531,CJS-2,Assessor de Juiz da Vara Unica de Mocajuba
218031,CJS-2,Assessor de Juiz da 2ª Vara Civel e Empresarial de Altamira
218073,CJS-2,Assessor de Juiz da 2ª Vara Civel e Empresarial de Paragominas
218103,CJS-2,Assessor de Juiz da Vara Unica de Goianesia do Para
218111,CJS-2,Assessor de Juiz da Vara Unica de Sao Domingos do Araguaia
218138,CJS-2,Assessor de Juiz da Vara Unica de Anajas
218677,CJS-2,Assessor de Juiz
219291,CJS-1,Chefe da URA-FRJ - 7RJ-Soure
219380,CJS-2,Assessor de Juiz da Vara Unica de Ulianopolis
219657,CJI,Chefe da Unidade Local de Arrecadacao - Primavera
219703,CJS-2,Assessor de Juiz da 3ª Vara Civel e Empresarial de Altamira
219924,CJS-2,Assessor de Juiz da Vara Unica de Santarem Novo
220400,CJS-2,Assessor de Juiz da Vara Unica de Aurora do Para
220442,CJS-2,Assessor de Juiz da 2ª Vara Civel e Empresarial de Braganca
221538,CJS-2,Assessor de Juiz da 3ª Vara Civel e Empresarial de Belem
221619,CJI,Chefe da Unidade Local de Arrecadacao - Oriximina
221635,CJI,Chefe da Unidade Local de Arrecadacao - Brasil Novo
221643,CJI,Chefe da Unidade Local de Arrecadacao - Santa Maria do Para
221856,CJS-2,Assessor de Juiz da 1ª Vara do Juizado Especial da Fazenda Publica de Belem
221970,CJI,Chefe da Unidade Local de Arrecadacao - Jacunda
222232,CJI,Chefe da Unidade Local de Arrecadacao - Sao Miguel do Guama
223093,CJS-2,Assessor de Juiz da 1ª Vara do Juizado Especial Civel de Ananindeua
223107,CJS-2,Assessor de Juiz da 2ª Vara Civel e Empresarial Distrital de Icoaraci
223123,CJS-2,Assessor de Juiz da Vara Unica de Senador Jose Porfirio
223131,CJS-2,Assessor de Juiz da 1ª Vara Civel e Empresarial de Paragominas
223824,CJS-2,Assessor de Juiz da 2ª Vara Civel e Empresarial de Castanhal
223832,CJS-2,Assessor de Juiz da Vara Unica de Tome-Acu
223891,CJI,Chefe da Unidade Local de Arrecadacao - Acara
224146,CJS-2,Assessor de Juiz da 11ª Vara do Juizado Especial Civel de Belem
225151,CJS-2,Assessor de Juiz da 2ª Vara do Tribunal do Juri de Belem
225398,CJS-2,Assessor de Juiz da Vara Criminal de Santa Izabel do Para
225649,CJS-2,Assessor de Juiz
226394,CJS-2,Assessor de Juiz da Vara Unica de Pacaja
227196,CJS-2,Assessor de Juiz da Vara Unica de Anapu
227307,CJI,Chefe da Unidade Local de Arrecadacao - Sao Domingos do Araguaia
227358,CJI,Chefe da Unidade Local de Arrecadacao - Gurupa
227382,CJI,Chefe da Unidade Local de Arrecadacao - Curralinho
227455,CJS-2,Assessor de Juiz da 2ª Vara Cumulativa de Cameta
227757,CJS-2,Assessor de Juiz da 2ª Vara Cumulativa de Breves
228079,CJS-2,Assessor de Juiz da Vara Unica de Oriximina
228427,CJS-2,Assessor de Juiz da Vara Unica de Ourilandia do Norte
228541,CJS-2,Assessor de Juiz da Vara do Juizado Especial de Relacao de Consumo de Santarem - UFOPA
229415,CJS-2,Assessor de Juiz da 3ª Vara de Juizado Especial da Fazenda Publica de Belem
229571,CJS-2,Assessor de Juiz da Vara Unica de Tucuma
229610,CJS-2,Assessor de Juiz da Vara Agraria de Castanhal
229644,CJS-2,Assessor de Juiz da 10ª Vara Civel e Empresarial de Belem
230472,CJS-2,Assessor de Juiz da 2ª Vara de Violencia Domestica e Familiar contra a Mulher de Belem
230561,CJS-2,Assessor de Juiz da Vara Unica de Uruara
231231,CJS-2,Assessor de Juiz da Vara Criminal de Xinguara
231282,CJS-2,Assessor de Juiz da Vara de Crimes contra Crianca e Adolescente da Comarca de Ananindeua
231291,CJS-2,Assessor de Juiz da 3ª Vara da Infancia e Juventude de Belem
231835,CJS-2,Assessor de Juiz
231916,CJS-2,Assessor de Juiz da Vara Unica de Brasil Novo
231924,CJS-2,Assessor de Juiz da Vara do Juizado Especial Criminal de Ananindeua
232475,CJS-2,Assessor de Juiz da 2ª Vara de Crimes Contra a Dignidade Sexual de Crianças e Adolescentes de Belem
232645,CJS-2,Assessor de Juiz da Vara Criminal de Capanema
232742,CJS-2,Assessor de Juiz da Vara Unica de Capitao Poco
232823,CJS-2,Assessor de Juiz da 4ª Vara Civel e Empresarial de Belem
232840,CJS-2,Assessor de Juiz da 1ª Vara Criminal da Comarca de Itaituba
233081,CJS-2,Assessor de Juiz da 2ª Vara de Juiz(a) das Garantias das Comarcas do Interior
233331,CJS-2,Assessor de Juiz da 5ª Vara Civel e Empresarial de Belem
233404,CJS-2,Assessor de Juiz da 4ª Vara de Familia de Belem
233463,CJS-2,Assessor de Juiz da 12ª Vara Civel e Empresarial de Belem
233714,CJS-2,Assessor de Juiz
234729,CJS-2,Assessor de Juiz da 1ª Vara do Juizado Especial Civel e Criminal de Maraba
235121,CJI,Chefe da Unidade Local de Arrecadacao - Garrafao do Norte
235245,CJS-2,Assessor de Juiz da 2ª Vara Criminal de Altamira
235504,CJS-2,Assessor de Juiz da 1ª Vara Civel e Empresarial de Capanema
235521,CJS-2,Assessor de Juiz da Vara Unica de Jacareacanga
235644,CJS-2,Assessor de Juiz da Vara Civel e Empresarial de Conceicao do Araguaia
235661,CJS-2,Assessor de Juiz da Vara Unica de Santa Luzia do Para
235733,CJS-2,Assessor de Juiz da Vara Unica de Chaves
235776,CJS-2,Assessor de Juiz da 3ª Vara Criminal Distrital de Icoaraci
235822,CJS-2,"Assessor de Juiz da Vara de Infancia e Juventude, Interditos e Ausentes da Comarca de Maraba"
235873,CJS-2,Assessor de Juiz da Vara Unica de Curuca
236021,CJS-2,Assessor de Juiz da Vara do Juizado Especial Civel e Criminal de Mosqueiro
236047,CJS-2,Assessor de Juiz da Vara Unica de Santana do Araguaia
23698,CJS-2,Assessor de Juiz da 2ª Vara da Infancia e Juventude de Belem
29980,CJS-3,ASSESSOR JUDICIARIO (JME)
39586,CJS-2,Assessor de Juiz da 3ª Vara do Tribunal do Juri de Belem
43810,CJI,Chefe da Unidade Local de Arrecadacao - Barcarena
51160,CJS-1,Chefe da URA-FRJ - 10RJ-Tucurui
52604,CJS-1,Chefe da URA-FRJ - 6RJ-Paragominas
57975,CJS-2,Assessor de Juiz da 2ª Turma Recursal Permanente dos Juizados Especiais
64920,CJS-2,Assessor de Juiz da Vara da Infancia e Juventude Distrital de Icoaraci
74047,CJS-2,Assessor de Juiz da 5ª Vara do Juizado Especial Civel de Belem
79430,CJS-2,Assessor de Juiz da Turma Recursal Permanente dos Juizados Especiais da Fazenda Publica
84671,CJS-2,Assessor de Juiz da 5ª Vara de Familia de Belem
92142,CJS-1,Chefe da URA-FRJ - 12RJ-Xinguara
97586,CJS-1,Chefe da URA-FRJ - 1RJ-Ananindeua
97969,CJS-2,Assessor de Juiz da 7ª Vara de Familia de Belem
98001,CJI,Chefe da Unidade Local de Arrecadacao - Benevides
98086,CJI,Chefe da Unidade Local de Arrecadacao - Igarape-Acu
98299,CJI,Chefe da Unidade Local de Arrecadacao-F Distrital Icoaraci
98485,CJS-3,Chefe da Divisao do Servico Social das Varas de Familia
98671,CJS-2,Assessor de Juiz da Vara do Juizado Especial Criminal do Meio Ambiente de Belem
98795,CJS-2,Assessor de Juiz da 2ª Vara de Familia de Belem
98965,CJI,Chefe da Unidade Local de Arrecadacao - Braganca
98981,CJI,Chefe da Unidade Local de Arrecadacao - Capitao Poco
99007,CJI,Chefe da Unidade Local de Arrecadacao - Bujaru
99066,CJS-2,Assessor de Juiz da 3ª Vara de Violencia Domestica e Familiar contra a Mulher de Belem
99104,CJS-2,Assessor de Juiz da 4ª Vara Criminal de Ananindeua
99163,CJI,Chefe da Unidade Local de Arrecadacao - Augusto Correa
99295,CJS-2,Assessor de Juiz da 3ª Vara Civel e Empresarial de Santarem
99635,CJS-2,Assessor de Juiz da 3ª Turma Recursal Permanente dos Juizados Especiais
